LocomotionID,PrimateID,LMTypeCd,Checked,PctOfTime,CitationID,Comment,OrigIDPhysical,AuthorAddStamp,AuthorEditStamp,AuthorReviewStamp,AuthorIsDupeStamp,AdminReviewStamp
1,1,QUAD,-1,,1,,2414,,,5/18/2009,,
2,2,QUAD,-1,,37,,2390,,,5/18/2009,,
3,3,QUAD,-1,,43,,2410,,,5/18/2009,,
4,4,QUAD,-1,,58,,2406,,,5/18/2009,,
5,5,QUAD,-1,,65,,2423,,,5/18/2009,,
6,6,QUAD,-1,,69,,2418,,,5/18/2009,,
7,7,QUAD,-1,,78,,2427,,,5/18/2009,,
8,9,LEAP,-1,,165,,2848,,,5/13/2009,,
9,9,QUAD,-1,,165,,2848,,,5/13/2009,,
10,10,LEAP,-1,,178,,2832,,,5/15/2009,,
11,10,QUAD,-1,,178,,2832,,,5/15/2009,,
12,10,CLIM,-1,,191,,2833,,,5/15/2009,,
13,10,LEAP,-1,,191,,2833,,,5/15/2009,,
14,10,QUAD,-1,,191,,2833,,,5/15/2009,,
16,12,LEAP,-1,,24016,,2799,,8/10/2016,5/25/2009,,
17,12,QUAD,-1,,24016,,2799,,8/10/2016,5/25/2009,,
18,12,SUSP,-1,,24016,,2799,,8/10/2016,5/25/2009,,
23,15,CLIM,-1,30,247,,2868,,,6/9/2009,,
24,15,LEAP,-1,5,247,,2868,,,6/9/2009,,
25,15,QUAD,-1,65,247,,2868,,,6/9/2009,,
26,18,BIPE,-1,7,,,2727,,,5/20/2009,,
27,18,CLIM,-1,10,,,2727,,,5/20/2009,,
28,18,LEAP,-1,22,,,2727,,,5/20/2009,,
29,18,QUAD,-1,51,,,2727,,,5/20/2009,,
30,18,SUSP,-1,4,,,2727,,,5/20/2009,,
31,19,BIPE,-1,1,334,< 1% of observed locomotion; used very rarely to cover short distances on the ground.,2652,,5/24/2009,5/24/2009,,
32,19,LEAP,-1,81,335,"Oblique supports were the preferred substrates; leaping accounted for an overall mean of 81% of locomotion; wet season, 78.2%; dry season, 85%.",2652,,5/24/2009,5/24/2009,,
33,19,QUAD,-1,11,335,"Arboreal quadrupedalism accounted for an overall mean of 11% of locomotion; wet season, 9.5%; dry season, 13.2%.",2652,,5/24/2009,5/24/2009,,
34,19,VERT,-1,8,335,"Vertical clinging and leaping accounted for an overall mean of 8% of locomotion; wet season, 12.2%; dry season, 1.7%.",2652,,5/24/2009,5/24/2009,,
