MonkeyNumberGroves,NumberIn96Edition,ReferenceFullSpecies,SuppressTaxa,SpeciesInNewGroves,sp_nov,ONly in IUCN,Superfamily,Suborder,Ifraorder,Family,Subfamily,Tribe,Genus,Subgenus,Species-group,Species,Subspecies,Describer,YearDescribed,LatinName
1,761,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,medius,medius,,É. Geoffroy,1812,Cheirogaleus medius
2,,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,medius,adipicaudatus,,Grandidier,1868,Cheirogaleus adipicaudatus
3,760,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,major,major,,É. Geoffroy,1812,Cheirogaleus major
4,,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,major,crossleyi,,Grandidier,1870,Cheirogaleus crossleyi 
5,,0,0,1,0,0,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,major,ravus,,Groves,2000,Cheirogaleus ravus
6,,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,major,minusculus,,Groves,2000,Cheirogaleus minusculus
7,,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,major,sibreei,,Forsyth Major,1896,Cheirogaleus sibreei 
8,763,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Microcebus,,,murinus,,J. Miller,1777,Microcebus murinus 
9,764,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Microcebus,,,rufus,,Lesson,1840,Microcebus rufus 
10,,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Microcebus,,,ravelobensis,,Zimmermann et al,1998,Microcebus ravelobensis 
